"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"KD_gene"	-4.22502062776259	8.07558899456229	1055.35100652689	1.67213658114661e-231	2.04084269728944e-227
"ACACB"	-1.90568249817632	5.79457946132471	308.375791120915	4.93231284451281e-69	3.00994391336394e-65
"AL354741.1"	-1.75901910400685	7.55874722122873	298.094832769578	8.5673691507684e-67	3.48549134950428e-63
"RP13-452N2.1"	2.03221861179392	4.5190313179435	230.368540957974	4.95416220880376e-52	1.25506768665249e-48
"RP5-1073O3.2"	-1.33781252917653	7.66199035646763	230.294581861351	5.14161280890002e-52	1.25506768665249e-48
"PTH2R"	-1.42592261144195	5.60888751214725	225.678838036012	5.22100484904139e-51	1.0620394030425e-47
"RP11-390D11.1"	-1.392835309417	8.95106360709512	221.349200228349	4.5929594867515e-50	7.67987423669855e-47
"USP9YP36"	-1.69792248650898	5.99985616525501	221.166669054931	5.03392002405477e-50	7.67987423669855e-47
"S100A6"	-1.80918830488315	8.567273205321	200.910848680116	1.32149806421555e-45	1.79209820819453e-42
"LINC01088"	2.79146837845123	1.19772421045953	196.770293391744	1.05841072684094e-44	1.29179029210937e-41
"AC018445.1"	1.60191368292972	9.1525203065222	195.467363672168	2.03708952170815e-44	2.26024341931345e-41
"RNU7-107P"	1.67274644823195	9.02345354595765	194.977411192287	2.60580238139956e-44	2.6503181720818e-41
"MPEG1"	-1.28700663932563	7.4800168868487	193.208230222998	6.3397727642017e-44	5.95207127592937e-41
"RP11-158N24.1"	-1.26413531639207	7.17316542771936	176.490044160534	2.83026434118169e-40	2.46738402029446e-37
"RP11-598F7.3"	-1.94498064787333	4.75740318300441	175.583842786842	4.46387068673337e-40	3.63210278210538e-37
"AC079742.4"	-1.38970250163187	4.74075331747487	173.639842039028	1.18641507743054e-39	9.05012251252486e-37
"RP11-434O22.2"	-1.08115736511265	7.1814810792696	170.861911381505	4.79644163541328e-39	3.44356295060112e-36
"DNAJB3"	1.20877338252726	6.85855651748423	170.152210259285	6.8536564963683e-39	4.64715986323195e-36
"AC007965.1"	-1.62117329124133	5.8947310576129	163.11207438197	2.36448825502885e-37	1.45916511871485e-34
"LRRC17"	-1.915183554277	5.0268109091713	163.089830361605	2.39109400854543e-37	1.45916511871485e-34
"TRAPPC2P1"	1.82400340829287	2.26540515099862	162.303867877825	3.5506079874897e-37	2.06357954701485e-34
