"scramb"	"average_FC"
"KD_gene"	-2.77529066529366
"MORC3"	0.181812337673027
"AGAP6"	-0.0789939750274612
"SLC39A10"	0.371865817823163
"RP11-638I2.9"	0.628198387050606
"COX5BP1"	0.372188821242008
"AC068580.7"	0.29402148719011
"CTC-304I17.2"	0.216654318545496
"LINC01011"	-1.17402574650316
"SETD4"	0.458678315193509
"RNU6-453P"	-0.893224174420188
"PTH2"	0.26598073191732
"PTBP2"	0.0476368819839499
"RGAG4"	-0.151306632338988
"CTD-2331C18.5"	-0.266061106459685
"ACOX3"	0.481612785574193
"RP11-184A2.2"	0.221425608373943
"MT1XP1"	0.659117516612378
"RP11-482L14.1"	0.494025503336374
"RN7SL66P"	0.267935525114221
"RPS29P20"	-0.0481431258568141
"C11orf83"	-0.424540662626023
"RN7SL867P"	0.275133172782508
"RP5-1098D14.1"	0.182247862983991
"DUPD1"	0.239551627223634
"NUTM2E"	-0.0841933627221
"HOXA1"	-0.394746571969477
"MIR4701"	0.160923762993808
"ANKRD20A8P"	0.0046478594397312
"RP11-562A8.1"	-0.335237433647065
"RNU6-520P"	-0.59234906945197
"RP1-102G20.4"	0.263792340958888
"KIAA1191"	-0.2248080469479
"GAGE12B"	0.400343253741285
"TRAJ39"	0.343951708039097
"MIR374B"	0.292345575906439
"FGF12-AS3"	0.262082231001193
"ZNF75A"	-0.200143215707178
"RP11-20G6.3"	-0.0580530502359111
"RP11-576I22.2"	-0.0589256536289287
"CTD-3214H19.12"	-0.202976773037958
"RNA5SP88"	0.151779249624909
"RP11-196I18.4"	-0.0725999832322686
"FLVCR1-AS1"	0.245305713472369
"RNU6ATAC35P"	-0.308271975221536
"RP11-669E14.6"	0.24513796742508
"CTD-3253I12.1"	0.152145480116313
"CUEDC2"	0.331223671018968
"TMEM132B"	0.531928436994576
"MIR519E"	-0.045610596960218
"RP11-78F17.3"	0.104527217387098
"AK4P6"	-0.414023904828015
"RNU6-756P"	0.105682956544445
"RP11-104O19.2"	-0.206202037178125
"AC127383.1"	0.207302815792238
"ARHGAP32"	0.209904728940535
"MOSPD1"	0.271200910684834
"HOXC11"	-0.176146502333716
"RP11-63K6.5"	-0.28085750922775
"C11orf31"	0.559431807987005
"CTC-523E23.5"	0.0631553338171068
"RNU6-1284P"	0.051776121144983
"RP11-189E14.5"	0.306048196006313
"TUBBP2"	0.434124623492762
"MGMT"	0.258200252726719
"RP11-378G13.2"	0.369005934648778
"BX649553.3"	0.0585045551950932
"MIR152"	-0.038730223614995
"PNLIPRP2"	-0.0632273804497697
"RP11-544A12.8"	-0.0426850156368347
"SERBP1P2"	-0.0199896330845315
"AC006011.4"	0.135662003830052
"PDZK1IP1"	0.372749632608121
"RP11-426L16.7"	0.352521414061297
"HIST2H3C"	-0.484396538860004
"TRIM60P5Y"	0.441227547076994
"RP11-52B19.7"	0.201972300190841
"RP11-548K12.12"	0.434106731066783
"OR2A12"	0.312424461525834
"HMGN1P13"	0.511177904716017
"GPC4"	0.0307927312427204
"GNAS-AS1"	0.362389727045268
"RP11-108P20.2"	0.281324331412169
"RN7SL706P"	-0.130634717345517
"INHA"	0.00328186788307643
"RP11-1049H7.2"	0.497433496493571
"NACA2"	0.336147216927519
"RP11-472N13.2"	0.0805709875775368
"RP11-428J1.5"	0.039847536893318
"RNGTTP1"	0.286735054965724
"RP11-646E18.4"	-0.451282194254755
"CSPG4P9"	0.672718882232746
"ENAM"	-0.820116836825374
"RP11-180M15.3"	0.0352285978084769
"AL121987.1"	0.214443646823614
"RP11-173E2.2"	0.486626056713846
"RP11-474L11.5"	0.373092211123915
"NUFIP1P"	-0.0564521129283361
"RBMY1E"	0.2737728281121
"NPM1P11"	-0.0788925552691547
"MED14"	0.437296861801009
"AL023807.1"	0.162777149710179
"CLMP"	0.46810053310375
"RNA5SP233"	0.568486322816922
"RNU7-160P"	0.197880620816689
"RP11-807G9.2"	-0.353951261844691
"SEPT7P2"	0.0105995091569081
"AL590233.1"	-0.502148459595496
"AC007193.6"	0.10921629551763
"RP11-380J14.1"	0.0251845187323097
"AL590007.1"	-0.836573957520947
"EZR-AS1"	0.23723499002425
"RP11-39E3.4"	0.0616782204994845
"RP1-56K13.5"	0.500754133492312
"HSP90AA1"	-0.187835671864186
"VN1R11P"	0.10069233352697
"SNORD115-42"	-0.202152334036435
"AC012354.8"	-0.142183688405273
"PDS5B"	0.169866755602591
"IFRD1"	-0.273254384916732
"NPIPA1"	0.16990077476858
"SNORD55"	0.439453836673896
