"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RP13-452N2.1"	2.21572670628589	4.5190313179435	297.962390255164	9.15593854490504e-67	1.11748229940566e-62
"KD_gene"	-1.80811733886874	8.07558899456229	238.643596495666	7.77079505534081e-54	4.74212768252173e-50
"GINS4"	-1.97720463310535	4.34276503139658	190.583690242942	2.37096462747569e-43	9.64587442611362e-40
"METTL5"	-1.12809215894816	8.21449946290491	187.04842975153	1.40159002508248e-42	3.73422833700123e-39
"AC019129.1"	-1.45382960663989	6.47025884276577	186.874299259787	1.52979448463795e-42	3.73422833700123e-39
"LINC00938"	-1.35439954136987	7.62824846357846	178.659822110228	9.50695500441434e-41	1.93387309714795e-37
"ITPA"	-1.79734729511509	5.40498019620768	171.985184738155	2.72644475476503e-39	4.75375117598675e-36
"AL139328.1"	-1.34953279414064	9.85143306140607	170.940558851982	4.61043910367948e-39	7.03380115755101e-36
"LINC00448"	-1.69767058696354	4.02374427155841	167.050377100172	3.26156371829263e-38	4.4230427979735e-35
"RPSAP56"	-1.33008973141207	11.5798520300482	165.638789102509	6.63390878098405e-38	8.09668566719103e-35
"RP11-545M17.2"	1.72056508432828	3.47930287461577	161.025909060281	6.75311124920472e-37	7.06996955381242e-34
"RP11-730B22.1"	-1.25252829920988	10.5115176225145	160.968434160578	6.9512195531134e-37	7.06996955381242e-34
"COQ3"	1.08275157940094	6.55624111561112	160.460239158288	8.97619957379991e-37	8.42727044601753e-34
"AC104843.4"	-1.59397168088421	11.5946016722163	152.758236363513	4.32623651002368e-35	3.77155118605993e-32
"TMEM212"	-1.17272113052132	8.36847960003385	152.570524457469	4.75482995823953e-35	3.86884664268757e-32
"TTC39A"	-1.32710900636489	10.6000903082202	151.260376536732	9.19345694702413e-35	7.01288387740184e-32
"CTC-550B14.7"	0.96709389563409	7.27364834660998	151.119783441	9.86751033289079e-35	7.0842919772313e-32
"RP6-1O2.1"	-1.28900659899029	11.0566093675507	150.703228597132	1.21689474434129e-34	8.25122241926969e-32
"PARS2"	1.18630954447495	5.69322205491575	150.228992464734	1.54492597590219e-34	9.92411659783483e-32
"RP11-394B2.6"	-1.18247863145394	10.958874854626	147.699641444152	5.51808651824468e-34	3.36741229775881e-31
"MIR550A2"	1.09739531449631	6.78512980297511	144.386908883355	2.92415096068089e-33	1.69948868929097e-30
"RP11-597D13.7"	-1.05501112507078	7.0498299983344	141.665728944676	1.15072662085233e-32	6.38391745795579e-30
"AL590285.1"	-1.03095766672999	7.09024828338109	141.058371276657	1.56235029625811e-32	8.29064581123052e-30
"COPG2"	0.977235971734188	8.65812304196111	140.76430869603	1.81167476031187e-32	9.21312102066934e-30
"PIK3R6"	1.03874284161387	5.70405789373364	140.226158357356	2.37551847914046e-32	1.15972812151637e-29
"RP11-226L15.5"	-1.24967569564366	10.8362355042836	139.347348371353	3.69773575206133e-32	1.7358024943811e-29
"RND3"	1.02544375317935	7.56290167269292	138.440219463585	5.83868309193861e-32	2.63930100507818e-29
"RNU4-86P"	0.988010757372328	6.20042716617003	137.99598164817	7.30244150999288e-32	3.1830820939094e-29
"RP11-57B24.2"	1.40805755517757	4.1674201792984	137.70975928581	8.43461041982505e-32	3.54980759220568e-29
"SDPR"	1.1966817941153	5.65527087391144	136.280221565425	1.73268337779678e-31	7.04913354200321e-29
"ATP5G2P1"	-1.28991054302794	10.154332130496	134.580982715268	4.07746252258659e-31	1.60533645445707e-28
"RP11-53M11.4"	-1.33315061008288	9.65185463706039	132.43282440327	1.20309568709679e-30	4.58868214406761e-28
"RPL6P21"	1.70510449530549	3.28114145779452	131.474910191252	1.94922486287517e-30	7.20917862163376e-28
"RNU7-107P"	1.36674716225161	9.02345354595765	130.666083756985	2.92965625677709e-30	1.0365396559335e-27
"RP11-697N18.2"	-1.13461997334697	10.434254607338	130.637290543927	2.97246111902274e-30	1.0365396559335e-27
"RP11-408J6.1"	-1.33693116852817	12.1567016481541	129.668372935363	4.84291205092404e-30	1.641881710598e-27
"FTH1P27"	-1.28745946458065	10.750314131681	128.909995067586	7.09644753219582e-30	2.33677414349068e-27
"NAGA"	1.16713339769793	7.38068973872105	128.860537957905	7.27549508010207e-30	2.33677414349068e-27
"LINC00485"	1.27221434384142	6.41885728279272	128.608180536727	8.26191213486849e-30	2.58555481041205e-27
"KRT34"	1.65697868454684	3.14929157410831	128.486050649984	8.786258070291e-30	2.68090699369754e-27
"FBXL20"	0.989097014312015	6.49819251803497	127.053229944371	1.80857051424259e-29	5.3838056405685e-27
"FTH1P6"	-1.14852796906467	11.8053774910859	127.005171281544	1.8529007608997e-29	5.38444137780495e-27
"AL596092.1"	-1.29205880577616	11.2157711175113	126.578014216095	2.29788659584385e-29	6.52225718657539e-27
"CTD-2542C24.7"	1.39144980337604	4.92762121689691	126.284172335574	2.66460315896522e-29	7.34423556684859e-27
"RP11-927P21.4"	1.33771134563123	4.22614613252748	126.252236830027	2.70782958220554e-29	7.34423556684859e-27
"IMMT"	-1.55047357892219	1.93353381620416	125.057847461701	4.94324496613353e-29	1.30070558761462e-26
"CTD-2587M2.1"	-1.20545228804807	10.7791428433478	125.031679939346	5.00886215632014e-29	1.30070558761462e-26
"SEPT7"	-1.3518854106461	4.08700364748879	124.057722497549	8.18282281229612e-29	2.08065317550155e-26
"RPL37P25"	-1.14646247264429	4.79195452848321	122.989474802647	1.40190592501703e-28	3.49189016629242e-26
"TRAPPC2P1"	1.67510781939811	2.26540515099862	122.702844496734	1.61978949396232e-28	3.95390615476202e-26
"MED4"	-1.11104495247858	10.5726860087589	122.612950348478	1.69486648935876e-28	4.05604813776934e-26
"DPEP3"	-0.878790483053593	7.85698850587975	122.419323262282	1.86861090150349e-28	4.38584539477886e-26
"GNPTAB"	-1.0942342467387	8.39230246914666	122.059540236861	2.2401331794297e-28	5.08387032374794e-26
"RNU6-392P"	1.02903164910294	7.70141044654245	122.051424131035	2.24931583353043e-28	5.08387032374794e-26
"LRRC72"	-1.20528065807673	9.3259065387748	121.88199884981	2.4498390866145e-28	5.4364156458418e-26
"PANX1"	1.18731659905145	7.03760768884666	120.730681810536	4.37694588062636e-28	9.53939722732942e-26
"TMPRSS11BNL"	1.07453202959147	7.32009979928965	120.106550923578	5.99524581706949e-28	1.28371886311111e-25
