"identifier"	"translatedmRNA.apvEff"	"translatedmRNA.apvRvmPAdj"	"totalmRNA.apvEff"	"totalmRNA.apvRvmPAdj"	"translation.apvEff"	"translation.apvRvmPAdj"	"buffering.apvEff"	"buffering.apvRvmPAdj"	"singleRegMode"
"5S_rRNA"	"5S_rRNA"	-0.0202089427114895	0.7877186438869	-0.0445256148479736	0.410282074754957	0.0168267991325859	0.945380186045519	-0.0360007916744571	0.751207045252831	"background"
"A2M"	"A2M"	1.5672422933453	0.00773143853958242	1.20125781114239	0.00756444642339916	3.0095525010678	0.0329580328690691	2.42706043971433	0.036568625162733	"abundance"
"A2M-AS1"	"A2M-AS1"	-0.328311208560761	0.0312999913522634	-0.36404931761341	0.00861279541874457	0.0411568576895807	0.926160343411734	-0.205065219273103	0.223173518510864	"abundance"
"AADACL4"	"AADACL4"	-0.237116916416942	0.569839435289813	0.425209574229402	0.392214171648766	-0.00866987037970324	0.99043532150786	0.242318627156794	0.652980032135713	"background"
"AANAT"	"AANAT"	1.13216225894508	0.00361854269228114	1.00114200065942	0.00574563601065252	0.969414929726336	0.138912496137408	0.21847771752541	0.67460242577592	"abundance"
"AARS2"	"AARS2"	-0.605313024860642	0.00382988277185148	-0.617578486951254	0.00244260220928034	-0.287148100953984	0.261099546284826	0.443153244489348	0.0686248695564096	"abundance"
"AASS"	"AASS"	-0.219715618901819	0.54347819393311	-0.783995759476929	0.0330330811866215	-0.15935876148867	0.900082885678772	-0.774699055522352	0.131560640566208	"buffering"
"AATF"	"AATF"	0.389827404695056	0.00643315700291213	0.31264950105627	0.006740591828924	0.297308561707073	0.260268859873061	-0.0448775422469918	0.756161018545708	"abundance"
"AATK"	"AATK"	-0.0684070009422566	0.446115085327277	-0.16060726497141	0.0643104859764278	0.0541253047684931	0.823790822648416	-0.123101729599914	0.340153061555313	"background"
"AATK-AS1"	"AATK-AS1"	0.265658815786233	0.680328185807277	1.39809523204817	0.00221155230922468	-3.78135734929399	0.112860197279077	1.35804805895495	0.037255450307249	"buffering"
"ABC7-43041300I9.1"	"ABC7-43041300I9.1"	0.282532747791391	0.0352411746434549	0.0843015768968005	0.146840790284815	0.194806809932939	0.446521087876664	0.0536570673011658	0.665687446504152	"abundance"
"ABCA10"	"ABCA10"	-0.0485785950569713	0.889847897687952	-0.911656222519222	0.175800795249921	-0.0324358424011164	0.969309326932185	-0.908653387646367	0.320889625285007	"background"
"ABCA11P"	"ABCA11P"	-0.370987286892598	0.00871176237295777	-0.297329628719031	0.00452340784283749	0.280311701731263	0.324966540186683	-0.232697715673956	0.127033035451562	"abundance"
"ABCA17P"	"ABCA17P"	-0.831417058090749	0.00405609671793481	-0.813462296320029	0.0027053908773219	-0.457947916223011	0.471418874825393	-0.315929075304361	0.341709231444611	"abundance"
"ABCA3"	"ABCA3"	-0.30863108644691	0.0826579949500818	-0.512606879255356	0.00463533532890709	-0.809932351551989	0.190714248652801	-0.59410785666024	0.0555920042056561	"abundance"
"ABCA4"	"ABCA4"	0.750983557203176	0.00382988277185148	0.7626248978239	0.00202825932782913	0.152039444874551	0.620654697230997	0.144488715294366	0.414918931178475	"abundance"
